***small example from ESPaDOnS LibreEsprit format
  47824 5
  486.4440  7.2378e-01  4.7837e-04  3.2888e-03  1.7480e-03  1.4637e-03
  486.4472  7.0226e-01  2.0468e-05 -5.5299e-05  1.6559e-04  1.4850e-03
  486.4505  6.7601e-01  9.8302e-04 -7.4410e-05 -1.6313e-03  1.4571e-03
  486.4537  6.1845e-01  3.1126e-04 -1.9447e-03 -4.1541e-04  1.3530e-03
  486.4570  5.8399e-01 -4.8684e-05 -8.3935e-04  1.3280e-03  1.3687e-03
  486.4602  6.2141e-01  1.8858e-03  9.3611e-04 -6.2247e-04  1.4074e-03
  486.4634  7.2488e-01 -1.8093e-03 -5.3155e-04 -2.1582e-05  1.4481e-03
  486.4667  8.2505e-01  1.2636e-03  6.7165e-04  2.3536e-03  1.5777e-03
  486.4699  8.8410e-01 -1.8207e-05 -1.7732e-03  3.6464e-05  1.6456e-03
  486.4731  9.0603e-01 -3.0330e-03 -3.6948e-04  3.2218e-03  1.6288e-03
  486.4764  9.1040e-01 -9.1089e-04  1.1212e-03  3.2181e-03  1.6370e-03
  486.4796  9.0985e-01 -5.8640e-04  4.9836e-05  2.5985e-03  1.6713e-03
  486.4829  9.0426e-01 -8.2413e-04  7.6455e-04  2.9503e-03  1.6455e-03
  486.4861  8.8959e-01  5.0386e-04  7.8708e-04 -9.8412e-04  1.6014e-03
  486.4893  8.3606e-01  4.6658e-04 -6.8277e-04 -7.1215e-04  1.5949e-03
  486.4926  7.1581e-01 -1.1146e-03 -1.8404e-03 -1.2625e-03  1.4804e-03
  486.4958  5.2801e-01 -3.3058e-04 -2.2088e-04 -1.2805e-03  1.2448e-03
  486.4991  3.9439e-01  2.9445e-04  5.4214e-04 -9.3798e-06  1.1421e-03
  486.5023  4.2837e-01  1.5871e-04  1.5224e-03  1.0877e-03  1.1756e-03
  486.5056  5.9078e-01  8.9217e-05  3.9729e-04 -8.4024e-04  1.2974e-03
  486.5089  7.3845e-01  1.0147e-03 -2.0355e-03  1.9265e-04  1.4834e-03
  486.5120  8.1516e-01  1.4625e-03 -4.9943e-03  4.0133e-04  1.5702e-03
  486.5152  8.5883e-01 -1.6120e-04  2.1295e-04 -2.7183e-04  1.5721e-03
  486.5185  8.8729e-01  3.9800e-04  1.2248e-03 -1.4615e-04  1.6010e-03
  486.5217  8.9987e-01  9.6260e-04  1.0065e-03 -2.6056e-04  1.6460e-03
  486.5250  9.0654e-01  2.2761e-03 -2.9693e-03 -5.0260e-04  1.6319e-03
  486.5282  9.0744e-01 -1.8455e-03  6.1315e-04  1.0463e-03  1.5996e-03
  486.5314  9.0631e-01 -1.5348e-03  1.9883e-03  2.2159e-03  1.6505e-03
  486.5347  9.0577e-01  1.7101e-03 -2.7272e-03 -2.0365e-03  1.6425e-03
  486.5379  9.0537e-01 -3.5643e-03  5.1388e-04  1.1125e-03  1.5880e-03
  486.5411  9.0447e-01  1.0603e-03  5.0449e-04 -5.9705e-04  1.6372e-03
  486.5444  9.0550e-01  1.5537e-03  5.2878e-04 -3.3534e-04  1.6441e-03
  486.5476  9.0675e-01 -1.9597e-03  1.2953e-03 -5.5813e-04  1.5913e-03
  486.5508  9.0693e-01 -1.3080e-03  1.4846e-03  8.6744e-04  1.6252e-03
  486.5541  9.0932e-01  3.3039e-04  6.3938e-04  1.9987e-03  1.6458e-03
  486.5573  9.1190e-01  9.4786e-04 -1.7711e-03  1.4238e-04  1.6079e-03
  486.5605  9.0763e-01  2.3982e-03 -1.5403e-03  6.2069e-04  1.6029e-03
  486.5638  9.0020e-01  2.2099e-03 -1.9543e-03  9.6034e-05  1.6336e-03
  486.5670  8.9813e-01  1.5951e-03  2.0900e-04  2.1239e-03  1.6098e-03
  486.5703  8.9476e-01  1.5048e-03 -1.7381e-03 -8.9827e-04  1.5735e-03
  486.5735  8.8335e-01  1.2126e-03 -1.7212e-03  1.4394e-03  1.6156e-03
  486.5768  8.6585e-01  1.2488e-04  3.4065e-03  1.4757e-03  1.5930e-03
  486.5799  8.2120e-01 -8.9438e-04 -9.5141e-04  6.3142e-06  1.5057e-03
  486.5833  7.3966e-01 -2.4022e-04  1.4943e-04  5.9721e-04  1.4716e-03
  486.5864  6.6040e-01 -1.7263e-03 -6.9760e-04  8.5115e-04  1.4166e-03
  486.5898  6.6719e-01  1.2640e-04 -6.8357e-04 -1.3079e-03  1.3656e-03
  486.5929  7.5214e-01 -2.4436e-04 -2.2011e-03 -5.0702e-04  1.4735e-03
  486.5961  8.3356e-01  2.8868e-03 -2.2025e-03  5.8710e-04  1.5584e-03
  486.5993  8.7254e-01  3.1193e-04 -5.4478e-04  2.2259e-05  1.5602e-03
  486.6026  8.8432e-01 -1.9172e-03  1.1352e-03  7.9499e-04  1.5682e-03
  486.6058  8.9117e-01 -9.5635e-04  2.5249e-03  3.3851e-03  1.6174e-03
  486.6090  8.9837e-01 -1.6172e-03 -1.1590e-03  2.2415e-03  1.5988e-03
  486.6123  9.0406e-01 -1.4063e-03  1.8179e-03  1.3635e-03  1.5664e-03
  486.6155  9.1101e-01 -7.7838e-04 -6.6716e-04 -1.3775e-03  1.6239e-03
  486.6187  9.0623e-01  2.2281e-04  2.1094e-04 -1.1369e-03  1.6106e-03
  486.6220  9.0135e-01  2.5953e-03  2.5399e-04 -2.9808e-03  1.5601e-03
  486.6252  8.8886e-01  2.7064e-04 -1.2291e-03 -1.1490e-03  1.5959e-03
  486.6284  8.7049e-01  6.2876e-04  2.2934e-03 -1.2999e-03  1.5911e-03
  486.6317  8.5057e-01  1.5683e-04 -1.1737e-03 -2.0546e-03  1.5169e-03
  486.6349  8.4085e-01  2.0183e-04 -2.3605e-03 -3.4558e-04  1.5417e-03
  486.6382  8.3035e-01  2.6515e-03 -8.2462e-04 -9.1846e-04  1.5469e-03
  486.6413  7.9938e-01 -7.6029e-04 -1.4136e-03 -6.6921e-04  1.4891e-03
  486.6447  7.2254e-01  7.6539e-04 -3.3931e-04  1.2550e-03  1.4112e-03
  486.6478  6.0034e-01  4.1562e-04  1.2429e-03  1.3238e-03  1.3267e-03
  486.6512  4.5046e-01  8.2737e-04  6.0716e-04 -2.3830e-05  1.1648e-03
  486.6543  3.9056e-01  1.5445e-03  5.4515e-04 -5.6052e-05  1.0603e-03
  486.6575  4.7411e-01 -1.8325e-03  1.0072e-03 -9.4532e-05  1.1935e-03
  486.6607  6.3067e-01 -3.1756e-04 -9.8904e-04  9.3257e-04  1.3330e-03
  486.6640  7.6446e-01 -7.8125e-04  1.8211e-03  1.3445e-03  1.4232e-03
  486.6672  8.3746e-01  3.4042e-05 -1.3692e-03  1.8713e-03  1.5353e-03
  486.6704  8.7175e-01 -1.3216e-03  3.3204e-03  6.3994e-04  1.5720e-03
  486.6737  8.7761e-01 -2.5856e-03 -1.2604e-03 -2.3267e-03  1.5260e-03
  486.6769  8.7861e-01  1.7144e-03  1.4968e-03  1.3991e-03  1.5619e-03
  486.6801  8.8054e-01  1.6208e-03 -3.7548e-04  2.2030e-03  1.5793e-03
  486.6833  8.7480e-01  2.7050e-03  4.5559e-04 -1.2673e-03  1.5398e-03
  486.6866  8.7783e-01  1.0445e-03 -2.0371e-04 -1.6069e-04  1.5396e-03
  486.6898  8.7381e-01 -3.0584e-03  2.7776e-03  2.3566e-04  1.5742e-03
  486.6931  8.7654e-01 -1.0258e-03  9.0913e-04 -9.0275e-04  1.5522e-03
  486.6964  8.7322e-01 -6.4723e-04  9.4365e-04  1.9136e-03  1.5180e-03
